record_id,station_id,indexName,day1st_result,day2nd_result,day3rd_result,period_id,enhance_id
1,1,Leq(24),64.2,64.4,63.5,2,3
2,1,Ldn,68.1,68.2,67.8,2,3
3,1,Lmax,95.5,96.0,92.1,2,3
4,2,Leq(24),55.1,56.6,55.5,2,3
5,2,Ldn,60.4,62.7,61.9,2,3
6,2,Lmax,82.4,88.3,88.4,2,3
7,3,Leq(24),60.0,59.3,59.0,2,3
8,3,Ldn,65.8,65.0,66.1,2,3
9,3,Lmax,87.3,87.3,87.3,2,3
