period_Id,startDate,endDate,semiannual_id
1,2024-06-01,2024-06-04,1
2,2024-05-13,2024-05-27,1
3,2024-09-01,2024-09-04,2
4,2024-10-13,2024-10-27,2
5,2025-06-01,2025-06-04,3
6,2025-05-13,2025-05-27,3
7,2025-09-01,2025-09-04,4
8,2025-10-13,2025-10-27,4
9,2569-05-13,2569-05-27,5
10,2569-06-01,2569-06-04,5
11,2569-09-01,2569-09-04,6
12,2569-10-13,2569-10-27,6
