station_id,indexName,day1st_Leq,day1st_L90,day2nd_Leq,day2nd_L90,day3rd_Leq,day3rd_L90
1,ค่าต่ำสุด,51.9,44.6,45.9,38.6,40.8,39.4
1,ค่าสูงสุด,73.5,59.6,73.7,57.9,70.9,61.2
2,ค่าต่ำสุด,43.2,42.5,42.2,40.9,40.1,39.5
2,ค่าสูงสุด,68.1,52.7,72.5,61.2,69.9,64.3
3,ค่าต่ำสุด,57.1,55.8,56.4,55.2,56.0,54.7
3,ค่าสูงสุด,68.9,60.7,68.6,61.2,68.0,60.3
