main_Id,mainName
1,คุณภาพอากาศในบรรยากาศ
2,คุณภาพอากาศภายในสถานประกอบการ
3,ผลการตรวจวัดคุณภาพเสียงโดยทั่วไป
4,คุณภาพน้ำทิ้ง
5,คุณภาพน้ำทะเล
6,นิเวศวิทยาทางทะเล
